"salary","batting","OBP","runs","hits","dooubles","tripes","homeruns","RBI","walks","strikeouts","stolenbases","errors","name"
2400,0.248,0.32,57,93,20,0,9,55,37,39,11,9,"Alan Trammell    "
2200,0.279,0.391,94,131,26,2,23,78,90,45,4,4,"Lou Whitaker     "
2017,0.179,0.314,64,60,14,2,25,64,89,175,1,7,"Rob Deer         "
1567,0.284,0.371,87,160,28,4,17,72,79,95,10,8,"Tony Phillips    "
1050,0.247,0.306,65,114,14,9,6,52,36,60,15,3,"Dan Gladden      "
375,0.237,0.351,23,46,10,1,7,29,35,40,1,1,"Dave Bergman     "
355,0.26,0.293,18,66,6,0,4,21,12,26,2,3,"Mark Carreon     "
109,0.216,0.341,37,61,7,5,0,19,54,91,29,6,"Gary Pettis      "
3453,0.325,0.399,133,216,32,13,17,75,77,62,19,6,"Paul Molitor     "
3200,0.26,0.332,66,131,20,4,10,77,54,79,6,2,"Robin Yount      "
2167,0.213,0.282,48,77,16,2,11,38,35,71,13,9,"Franklin Stubbs  "
1150,0.286,0.32,63,149,27,4,2,47,27,34,4,12,"Jim Gantner      "
300,0.206,0.262,14,51,18,1,1,28,17,26,0,3,"Scott Fletcher   "
284,0.265,0.35,28,62,11,3,1,25,29,21,4,11,"Kevin Seitzer    "
5300,0.316,0.397,78,153,35,3,31,100,65,121,6,7,"Danny Tartabull  "
3620,0.288,0.339,64,169,35,0,9,68,46,42,2,5,"Don Mattingly    "
2500,0.268,0.308,52,122,20,0,24,77,25,49,3,6,"Matt Nokes       "
2167,0.225,0.312,37,64,12,0,17,48,36,80,1,0,"Jesse Barfield   "
1950,0.247,0.343,67,119,15,4,12,49,67,84,6,12,"Mike Gallego     "
3742,0.273,0.33,89,174,42,3,33,108,49,112,20,8,"Joe Carter       "
3633,0.252,0.308,58,108,18,2,20,65,31,70,12,13,"Kelly Griffin    "
2383,0.282,0.342,110,181,40,10,17,60,55,135,33,1,"Devon White      "
2300,0.262,0.326,75,149,27,4,28,86,56,109,7,2,"Dave Winfield    "
1375,0.25,0.342,37,72,15,0,12,48,36,76,4,2,"Candy Maldonado  "
900,0.216,0.318,20,40,5,1,1,21,29,21,0,3,"Pat Tabler       "
775,0.25,0.364,27,60,12,1,2,24,44,44,0,0,"Rance Mulliniks  "
600,0.243,0.286,27,85,6,2,0,27,22,49,5,22,"Alfredo Griffin  "
2700,0.246,0.293,58,144,22,1,18,66,33,104,5,17,"Gary Gaetti      "
2317,0.238,0.322,48,85,11,1,16,50,44,62,3,5,"Hubie Brooks     "
3650,0.285,0.323,63,159,27,0,25,86,32,62,2,10,"George Bell      "
3575,0.304,0.345,85,198,38,2,10,56,41,38,31,10,"Steve Sax        "
3500,0.268,0.359,102,163,20,6,5,50,83,68,51,3,"Tim Raines       "
2500,0.259,0.358,71,106,22,5,18,66,62,86,0,6,"Dan Pasqua       "
1350,0.241,0.299,42,111,25,0,18,74,32,86,1,6,"Carlton Fisk     "
4200,0.301,0.36,79,166,34,3,21,96,52,66,2,8,"Wally Joyner     "
3417,0.259,0.322,65,135,32,1,16,74,49,46,6,2,"Kevin McReynolds "
3100,0.255,0.327,77,129,40,2,10,61,58,75,2,1,"George Brett     "
1650,0.301,0.333,47,113,22,3,2,47,20,35,5,5,"Jim Eisenreich   "
900,0.25,0.279,11,57,10,0,1,23,11,46,0,1,"Bob Melvin       "
400,0.188,0.243,20,36,9,1,2,18,15,40,2,2,"Curtis Wilkerson "
3100,0.284,0.373,72,131,20,1,20,89,67,48,4,8,"Kent Hrbek       "
2992,0.319,0.352,92,195,29,6,15,89,31,78,11,6,"Kirby Puckett    "
2800,0.277,0.385,84,148,34,1,29,93,95,117,5,0,"Chili Davis      "
2500,0.311,0.336,54,137,28,1,10,69,14,22,1,8,"Brian Harper     "
1200,0.279,0.322,36,102,20,0,6,36,21,55,1,11,"Mike Pagliarulo  "
3250,0.268,0.4,105,126,17,1,18,57,96,73,58,8,"Rickey Henderson "
2825,0.201,0.33,62,97,22,0,22,75,93,116,2,4,"Mark McGwire     "
2600,0.276,0.346,86,158,33,0,25,85,58,113,6,1,"Dave Henderson   "
1583,0.295,0.383,76,144,25,1,20,90,72,67,0,1,"Harold Baines    "
1150,0.063,0.063,0,1,0,0,0,1,0,2,0,0,"Carney Lansford  "
1100,0.238,0.29,38,70,14,4,0,28,18,43,20,3,"Willie Wilson    "
525,0.261,0.321,16,53,4,0,1,17,16,28,0,6,"Jamie Quirk      "
500,0.249,0.385,32,51,10,1,1,20,47,25,2,3,"Randy Ready      "
3750,0.256,0.338,52,95,13,1,27,69,43,57,2,6,"Kevin Mitchell   "
2188,0.248,0.3,58,139,29,3,17,88,44,61,0,5,"Pete O'Brien     "
2167,0.194,0.286,38,63,8,1,8,32,34,49,0,6,"Dave Valle       "
4300,0.266,0.359,115,152,32,1,44,122,78,152,26,9,"Jose Canseco     "
2387,0.341,0.408,108,201,27,3,15,78,65,78,36,14,"Julio Franco     "
950,0.278,0.377,76,113,17,2,17,49,58,70,1,0,"Brian Downing    "
675,0.271,0.339,21,54,8,1,2,20,21,25,2,11,"Geno Petralli    "
600,0.252,0.283,44,136,18,4,9,44,25,84,11,21,"Dickie Thon      "
